date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
2018-10,,65.5906,76.2294,18.0626,23.2056,38.6623,94.8664,81.1865,
2018-11,,65.5962,74.4189,17.7753,23.348,38.6656,94.1122,79.6375,
2018-12,,66.5335,75.7484,17.8169,23.5508,39.2181,95.252,80.1695,
2019-01,,69.4706,79.4605,18.057,25.0706,40.9494,99.4568,83.3278,
2019-02,,65.3577,75.2006,17.1867,23.5499,38.525,93.6357,77.9704,
2019-03,,65.8895,74.9691,17.5738,24.5673,38.8385,94.5466,78.4852,
2019-04,,64.7347,72.723,17.0498,23.8008,38.1578,92.7431,77.1802,
2019-05,,64.6314,72.3096,16.9558,24.4839,38.0969,92.562,76.5281,
2019-06,,65.3834,72.8436,17.0928,24.333,38.5402,93.4155,77.0721,
2019-07,,63.0756,71.8179,16.5759,24.1161,37.1798,90.6649,73.6878,
2019-08,,63.4172,70.7355,16.4966,25.3276,37.3812,90.8816,73.4135,
2019-09,,66.4897,73.3847,17.1686,26.4585,39.1923,95.4626,70.7337,
2019-10,,64.6407,70.7169,16.6503,26.7497,38.1024,92.4469,68.5116,
2019-11,,63.7748,71.1918,16.4083,25.6843,37.3651,91.1655,67.4152,
2019-12,,64.0817,70.5475,16.5875,26.7341,37.7729,91.5453,67.3835,
2020-01,,61.9057,69.3777,16.1665,26.1205,36.4902,88.6979,65.1121,
2020-02,,63.1385,69.5976,16.6537,25.2296,37.2169,90.3564,66.0215,
2020-03,,66.9909,73.7235,17.5541,27.257,39.4877,95.8695,70.5019,
2020-04,,77.7325,85.7389,17.4278,27.5213,45.933,97.2264,81.543,
2020-05,,72.7263,79.1189,17.1298,26.9798,42.8684,90.9415,71.871,
2020-06,,70.752,78.5489,17.1643,26.2872,41.7047,95.947,69.782,
2020-07,,70.4413,78.9929,17.4099,26.4194,41.4604,92.6665,69.2408,
2020-08,,73.4261,87.2889,17.4086,26.5196,43.2172,95.6287,71.9321,
2020-09,,73.8039,87.8266,17.5623,26.7537,43.4396,94.0231,71.9135,
2020-10,,78.7847,92.4302,18.1995,27.8337,46.3712,98.9419,76.7284,
2020-11,,79.3323,92.6284,18.3154,27.8971,46.6935,97.1067,76.5682,
2020-12,,76.1999,91.2037,17.9066,26.7321,44.8499,89.8313,73.5449,
2021-01,,73.8757,90.7932,17.5252,26.0711,43.4819,89.3546,70.5128,
2021-02,,76.2527,92.2963,17.9782,27.094,44.8809,89.892,72.8993,
